variables=x[mm],y[mm],z[mm],dummy
  zone i=         151 j=         222 k=           1 f=point
 -3.0954558636E+01  2.0002377558E+00  0.0000000000E+00  1.0000000000E+00
 -2.9773439094E+01  2.0002421298E+00  0.0000000000E+00  1.0000000000E+00
 -2.8628053869E+01  2.0002465124E+00  0.0000000000E+00  1.0000000000E+00
 -2.7518006635E+01  2.0002507413E+00  0.0000000000E+00  1.0000000000E+00
 -2.6442849957E+01  2.0002550547E+00  0.0000000000E+00  1.0000000000E+00
 -2.5402089847E+01  2.0002591314E+00  0.0000000000E+00  1.0000000000E+00
 -2.4395190330E+01  2.0002632825E+00  0.0000000000E+00  1.0000000000E+00
 -2.3421577767E+01  2.0002674402E+00  0.0000000000E+00  1.0000000000E+00
 -2.2480645142E+01  2.0002710582E+00  0.0000000000E+00  1.0000000000E+00
 -2.1571756163E+01  2.0002753905E+00  0.0000000000E+00  1.0000000000E+00
 -2.0694249120E+01  2.0002790300E+00  0.0000000000E+00  1.0000000000E+00
 -1.9847440705E+01  2.0002829906E+00  0.0000000000E+00  1.0000000000E+00
 -1.9030629506E+01  2.0002881606E+00  0.0000000000E+00  1.0000000000E+00
 -1.8243099323E+01  2.0002908734E+00  0.0000000000E+00  1.0000000000E+00
 -1.7484122474E+01  2.0002962157E+00  0.0000000000E+00  1.0000000000E+00
 -1.6752962499E+01  2.0002962669E+00  0.0000000000E+00  1.0000000000E+00
 -1.6048877260E+01  2.0003007067E+00  0.0000000000E+00  1.0000000000E+00
 -1.5371121080E+01  2.0002987031E+00  0.0000000000E+00  1.0000000000E+00
 -1.4718947617E+01  2.0003046299E+00  0.0000000000E+00  1.0000000000E+00
 -1.4091611604E+01  2.0003149413E+00  0.0000000000E+00  1.0000000000E+00
 -1.3488370904E+01  2.0003284633E+00  0.0000000000E+00  1.0000000000E+00
 -1.2908488463E+01  2.0003510570E+00  0.0000000000E+00  1.0000000000E+00
 -1.2351233529E+01  2.0003542624E+00  0.0000000000E+00  1.0000000000E+00
 -1.1815884070E+01  2.0003268739E+00  0.0000000000E+00  1.0000000000E+00
 -1.1301726586E+01  2.0002735396E+00  0.0000000000E+00  1.0000000000E+00
 -1.0808060076E+01  2.0001992702E+00  0.0000000000E+00  1.0000000000E+00
 -1.0334192853E+01  2.0001383672E+00  0.0000000000E+00  1.0000000000E+00
 -9.8794479984E+00  2.0001254049E+00  0.0000000000E+00  1.0000000000E+00
 -9.4431608830E+00  2.0002166498E+00  0.0000000000E+00  1.0000000000E+00
 -9.0246806671E+00  2.0004207484E+00  0.0000000000E+00  1.0000000000E+00
 -8.6233698377E+00  2.0007078836E+00  0.0000000000E+00  1.0000000000E+00
 -8.2386088413E+00  2.0010300790E+00  0.0000000000E+00  1.0000000000E+00
